name,date,lang,dur,genre,direc,act,c_rate,u_rate,desc,poster
Crank: High Voltage,"17 Sep, 2010",[],Action,,Mark Neveldine,"['Jason Statham', 'Amy Smart', 'Bai Ling']",2.5,2.1,"The filmmakers don't seem to be taking themselves seriously. Neither should we. So all you diehard action buffs can take a chance with Crank 2. It is high voltage action, albeit with a jaded edge.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Shanghai,"17 Sep, 2010",[],Drama,,Mikael Hafstrom,,3.0,2.8,"The drama might not engage you with its heavy political overtones, its outdated tenor and its overriding seriousness. But the star cast definitely will.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Resident Evil: Afterlife,"10 Sep, 2010",[],Action,,Milla JovovichActor,,3.0,3.1,"All the alpha and brawn show doesn't stop your attention wavering mid-film when testosterone is side-tracked for testy, long drawn conversation.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Avatar:Special Edition,"27 Aug, 2010",[],Action,,James Cameron,"['Sam Worthington', 'Zoe Saldana', 'Stephen Lang']",5.0,4.5,"You can hardly spot the difference between the old and the new Avatar, unless you've studied it minutely and seen it several times in its first edition.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Geng: The Adventure Begins,"27 Aug, 2010",[],Animation,,,,3.0,3.1,,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Cats and Dogs: The Revenge of Kitty Galore,"20 Aug, 2010",[],Animation,,Brad Peyton,"['Nick Nolte', 'Christina Applegate', 'Bette Midler']",3.0,2.5,,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Dinner for Schmucks,"13 Aug, 2010",[],Comedy,,Jay Roach,"['Steve Carell', 'Paul Rudd', 'Zach Galifianakis']",3.0,2.3,"Fun while it lasts, Dinner For Schmucks is a black comedy that is paced out and restrained. No loud laughs here. Just gentle chuckles.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
The Expendables,"13 Aug, 2010",[],Action,,"Sylvester Stallone, Actor","['Jason Statham', 'Jet Li', 'Mickey Rourke']",3.0,3.1,Don't go looking for a script. Just settle down for some vintage bang-bang stuff where guns were supposed to speak louder than special effects and guys had nothing to fall back on.,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Grown Ups,"13 Aug, 2010",[],Comedy,,Dennis Dugan,"['Adam Sandler', 'Salma Hayek', 'Rob Schneider']",3.0,2.8,"Savour the Sandler brand of humour with Grown Ups, a film that once again celebrates the spirit of childhood, like most of his comedies.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Predators,"06 Aug, 2010",[],Action,,Nimrod Antal,"['Adrien Brody', 'Alice Braga', 'Topher Grace']",2.5,2.1,,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Despicable Me," 1 hr 35 mins
	    
	",['Animation'],,,Julie AndrewsActor,,3.5,4.1,"Despicable Gru (Steve Carell) has just one ambition. He wants to be the perfect anti-hero and showcase some super villainy. And how does he propose to do so? By stealing the moon. But before he can do that, he must steal into the house of the evil nerd, Vector (Jason Segal) and foil his attempts at a million dollar heist. For this, he needs to adopt three cute orphans from Miss Hattie's Home for Girls. The beginning of the transformation of Superbad Gru to Superdad Gru!","https://static.toiimg.com/thumb/msid-6266159,width-219,height-317,imgsize-1133/6266159.jpg"
The Twilight Saga: Eclipse,"30 Jul, 2010",[],Adventure,,David Slade,"['Robert Pattinson', 'Kristen Stewart', 'Taylor Lautner']",3.5,3.7,,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Salt,"23 Jul, 2010",[],Action,,Phillip Noyce,,3.5,3.7,"It's Angelina Jolie, all the way. She's extremely watchable as the female agent who commendably stands up to the Bond and Bourne Inc.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Inception,"16 Jul, 2010","['English', 'Telugu', 'Hindi']",2 hrs 22 mins,Action,Christopher Nolan,"['Leonardo DiCaprio', 'Ken Watanabe', 'Marion Cotillard']",5.0,4.4,,"https://static.toiimg.com/thumb/msid-61256646,width-219,height-317,imgsize-57181/61256646.jpg"
The Sorcerer's Apprentice,"16 Jul, 2010",[],Sci-fci,,Jay BaruchelActor,"['Alfred Molina', 'Teresa Palmer', 'Monica Bellucci']",3.0,3.5,"This one's a simple summer flick that keeps the popcorn crisp. However, the story isn't original and does fill you with a sense of deja vu.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
The Last Airbender,"09 Jul, 2010",[],Action,,Noah RingerActor,"['Dev Patel', 'Nicola Peltz', 'Jackson Rathbone']",3.0,3.1,,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Knight and Day,"09 Jul, 2010",[],Action,,James Mangold,,3.5,3.6,"The action is completely over the top. And the film is such a chaloo cheeseburst, you just can't miss it. Go, sink your teeth in it.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Spread,"02 Jul, 2010",[],Drama,,David Mackenzie,,3.5,3.1,Watch it for Ashton Kutcher and his pretty boy charms. And also for his existential dilemma: to be a gigolo or a grocery boy.,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
The Storm Warriors 2,"02 Jul, 2010",[],Action,,Aaron KwokActor,,3.0,3.0,,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
